                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7973,                 8.1521,                 1.8224,                      0,                      0,                      0,                      0,                 2.5615,                  5.377,                 1.1437,             0.00032353,             0.00032353,             0.00032353
                      2,                 3.0913,                 5.3907,                 1.2477,                0.00015,                0.01773,                0.00014,                  6e-05,                 2.5911,                 4.5644,                 1.2123,             0.00065036,             0.00065036,             0.00065036
                      3,                 2.7087,                 4.2812,                 1.1451,                 0.2001,                0.16688,                0.14828,                0.06574,                 2.4059,                 3.2607,                 1.1313,             0.00097059,             0.00097059,             0.00097059
                      4,                 2.5694,                 3.6907,                 1.1093,                0.31628,                  0.324,                0.25142,                0.10652,                  2.511,                 2.7278,                 1.1635,              0.0009703,              0.0009703,              0.0009703
                      5,                 2.4027,                 3.2001,                 1.0625,                0.41487,                0.32211,                0.31094,                0.12411,                 2.4433,                 2.3708,                 1.1483,              0.0009703,              0.0009703,              0.0009703
                      6,                 2.3629,                 2.9667,                 1.0496,                0.46128,                0.38538,                0.38693,                0.16621,                 2.1566,                 2.1344,                 1.0548,              0.0009604,              0.0009604,              0.0009604
                      7,                 2.3799,                 2.7755,                 1.0492,                0.42289,                0.41656,                0.41034,                0.19866,                 2.0711,                 1.9683,                 1.0382,              0.0009505,              0.0009505,              0.0009505
                      8,                 2.3215,                 2.6039,                  1.036,                0.54506,                0.48143,                 0.4866,                 0.2105,                 2.0324,                 1.8846,                 1.0299,              0.0009406,              0.0009406,              0.0009406
                      9,                 2.2044,                 2.3709,                 1.0043,                0.55469,                0.51794,                0.51148,                0.23463,                 1.9836,                 1.7937,                 1.0198,              0.0009307,              0.0009307,              0.0009307
                     10,                 2.1904,                 2.1732,                 1.0281,                0.64129,                0.60648,                0.58471,                0.25476,                 2.0349,                 1.6379,                  1.029,              0.0009208,              0.0009208,              0.0009208
                     11,                 2.1386,                 2.0048,                 1.0155,                0.74848,                0.50305,                0.60067,                0.25043,                 2.0002,                   1.71,                 1.0058,              0.0009109,              0.0009109,              0.0009109
                     12,                  2.128,                 1.9743,                  1.005,                0.74191,                0.58184,                0.58493,                0.24098,                 1.9943,                 1.4762,                 1.0126,               0.000901,               0.000901,               0.000901
                     13,                 2.0566,                 1.8138,                 0.9854,                0.71156,                 0.6079,                0.66347,                0.30945,                  1.851,                 1.3639,                0.97763,              0.0008911,              0.0008911,              0.0008911
